Index,Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
1,Red,-0.03958999,-0.05624477,0.9976318,-0.01144419,-0.0736853,0.9972159,3.024048,3.024048,1,1,2.498838,0.02185535
1,Red,-0.03980175,-0.05583455,0.9976464,-0.01156634,-0.07418936,0.9971771,2.976776,2.976776,1,1,2.522429,0.0235908
1,Red,-0.04014149,-0.05654694,0.9975926,-0.01251223,-0.07400529,0.9971793,2.971848,2.971848,1,1,2.543892,0.02146339
1,Red,-0.04034752,-0.0574254,0.9975342,-0.0146334,-0.07069504,0.9973906,2.967468,2.967468,1,1,2.566064,0.02217197
1,Red,-0.03969687,-0.05904043,0.997466,-0.01530458,-0.07118232,0.9973459,2.954224,2.954224,1,1,2.589608,0.02354383
1,Red,-0.03829151,-0.05962488,0.9974862,-0.002960213,-0.06706256,0.9977444,2.940155,2.940155,1,0,2.611072,0.02146387
1,Red,-0.03723671,-0.0595125,0.9975328,-0.008056649,-0.07257088,0.9973307,3.02742,3.02742,1,0,2.633414,0.02234197
1,Red,-0.03710312,-0.05924632,0.9975536,-0.004486127,-0.08012468,0.9967747,2.938034,2.938034,1,0,2.653677,0.02026296
1,Red,-0.03710959,-0.05877276,0.9975814,0.00115968,-0.08023155,0.9967756,2.969177,2.969177,1,0,2.676721,0.02304363
1,Red,-0.03722447,-0.0583931,0.9975994,-0.002761859,-0.0714116,0.9974431,2.973633,2.973633,1,0.1,2.700033,0.02331257
1,Red,-0.03745357,-0.05755908,0.9976394,-0.002487218,-0.07362471,0.9972829,2.955078,2.955078,1,0.1,2.722069,0.02203584
1,Red,-0.03740185,-0.05613052,0.9977226,0.0003662111,-0.070694,0.997498,2.948349,2.948349,1,0.1,2.743745,0.02167606
1,Red,-0.03736769,-0.05563814,0.9977515,-0.0006866526,-0.07928549,0.9968517,2.941513,2.941513,1,0.1,2.766176,0.02243066
1,Red,-0.03758312,-0.05545304,0.9977537,0.0004272504,-0.07595902,0.9971109,2.941757,2.941757,1,0.1,2.78717,0.02099442
1,Red,-0.03824265,-0.05391461,0.997813,0.002151515,-0.06897055,0.9976164,2.939331,2.939331,1,0.1,2.810555,0.02338505
1,Red,-0.03950208,-0.05316614,0.9978041,0.005035411,-0.06762709,0.9976979,2.92984,2.92984,1,0.1,2.833652,0.02309728
1,Red,-0.04086564,-0.05395085,0.997707,0.006378209,-0.06835975,0.9976404,2.91571,2.91571,1,0.1,2.854669,0.0210166
1,Red,-0.04160934,-0.05471804,0.9976345,0.007522622,-0.06712376,0.9977163,2.923737,2.923737,1,0.1,2.878198,0.02352881
1,Red,-0.04233257,-0.05583569,0.9975422,0.009399473,-0.0643162,0.9978853,2.933182,2.933182,1,0.1,2.900438,0.02223969
1,Red,-0.04221126,-0.05591759,0.9975427,0.01054388,-0.06579624,0.9977774,2.940308,2.940308,1,0.1,2.922474,0.02203655
1,Red,-0.0420469,-0.05639561,0.9975227,0.01071174,-0.06527755,0.9978096,2.953262,2.953262,1,0.1,2.94315,0.0206759
1,Red,-0.041542,-0.05711026,0.9975032,0.01365678,-0.06558306,0.9977537,2.970673,2.970673,1,0.1,2.964859,0.02170944
1,Red,-0.04093063,-0.05818147,0.9974666,0.01283268,-0.06611653,0.9977294,2.9767,2.9767,1,0.1,2.987527,0.02266765
1,Red,-0.04083722,-0.05933966,0.9974023,0.01298541,-0.06475919,0.9978164,2.995407,2.995407,1,0.1,3.010395,0.02286768
1,Red,-0.04083477,-0.06038138,0.9973398,0.01365667,-0.06405667,0.9978528,2.977097,2.977097,1,0.1,3.032228,0.02183366
1,Red,-0.04107543,-0.06159041,0.9972559,0.01405341,-0.06491119,0.9977921,2.994019,2.994019,1,0.1,3.05479,0.02256179
1,Red,-0.04135899,-0.06285208,0.9971655,0.009323141,-0.06602493,0.9977744,2.998886,2.998886,1,0.1,3.076014,0.02122402
1,Red,-0.04172697,-0.06413805,0.9970683,0.008972237,-0.07023674,0.99749,3.023209,3.023209,1,0.1,3.098112,0.02209783
1,Red,-0.04174967,-0.06464456,0.9970347,-0.002029446,-0.06509486,0.9978771,2.952087,2.952087,1,0.1,3.120936,0.02282405
1,Red,-0.04187787,-0.06456066,0.9970347,-0.02932751,-0.05804467,0.9978831,2.959274,2.959274,1,0.1,3.142827,0.02189112
1,Red,-0.04162544,-0.06449283,0.9970496,-0.02020283,-0.05630548,0.9982092,2.969879,2.969879,1,0.1,3.165165,0.02233815
1,Red,-0.04154069,-0.06488647,0.9970276,-0.02018768,-0.05702296,0.9981688,2.946396,2.946396,1,0.1,3.188452,0.02328634
1,Red,-0.04158792,-0.06539574,0.9969923,-0.01921107,-0.05467296,0.9983195,2.94693,2.94693,1,0,3.210199,0.02174687
1,Red,-0.04147385,-0.06586584,0.9969662,-0.01890587,-0.05395574,0.9983643,2.949066,2.949066,1,0.6779439,3.232999,0.02279997
1,Red,-0.04144888,-0.06573194,0.9969761,-0.01843285,-0.05410836,0.9983649,2.947174,2.947174,1,0,3.255704,0.02270579
1,Red,-0.04148404,-0.06507972,0.9970174,-0.01760883,-0.05357419,0.9984086,2.935822,2.935822,1,0,3.277476,0.02177167
1,Red,-0.04144152,-0.06481043,0.9970367,-0.01794435,-0.0544892,0.9983531,2.928818,2.928818,1,0.5183881,3.298145,0.02066922
1,Red,-0.04154839,-0.06446587,0.9970546,-0.01777651,-0.05482488,0.9983377,2.936417,2.936417,1,1,3.321855,0.02371001
1,Red,-0.04154878,-0.06450471,0.9970521,-0.01814291,-0.05561893,0.9982873,2.936295,2.936295,1,0.7996918,3.343627,0.02177191
1,Red,-0.04144419,-0.06446232,0.9970592,-0.01754779,-0.05528316,0.9983165,2.955917,2.955917,1,1,3.36606,0.02243257
1,Red,-0.04112327,-0.0642003,0.9970893,-0.01776129,-0.0572359,0.9982027,2.959427,2.959427,1,0.8238515,3.387794,0.02173471
1,Red,-0.04093026,-0.06409365,0.9971041,-0.01663226,-0.05822818,0.9981648,2.958954,2.958954,1,1,3.410885,0.02309012
1,Red,-0.04091558,-0.06397779,0.9971122,-0.01673903,-0.05928089,0.998101,2.962097,2.962097,1,0.6937661,3.433851,0.02296662
1,Red,-0.04091389,-0.06396402,0.9971132,-0.01736471,-0.05877757,0.9981201,2.962402,2.962402,1,1,3.456072,0.02222061
1,Red,-0.04057902,-0.0634864,0.9971573,-0.01756308,-0.05923534,0.9980896,2.958084,2.958084,1,1,3.477927,0.02185535
1,Red,-0.04093763,-0.0633057,0.9971542,-0.01768499,-0.05883807,0.9981109,2.947571,2.947571,1,0.3477473,3.497843,0.01991606
1,Red,-0.04140161,-0.06332565,0.9971337,-0.01814275,-0.05896012,0.9980955,2.924561,2.924561,1,0.7797296,3.519921,0.02207756
1,Red,-0.04146668,-0.06303527,0.9971495,-0.01794439,-0.06054705,0.998004,2.923416,2.923416,1,0,3.543684,0.02376318
1,Red,-0.04100934,-0.06317575,0.9971595,-0.01826493,-0.06160029,0.9979338,2.923904,2.923904,1,0,3.566528,0.02284431
1,Red,-0.04060656,-0.06327534,0.9971696,-0.01835642,-0.06163058,0.9979302,2.948135,2.948135,1,0,3.588311,0.02178288
1,Red,-0.04044095,-0.06317626,0.9971827,-0.01840217,-0.06237817,0.9978829,2.952393,2.952393,1,0,3.609956,0.02164459
1,Red,-0.03960597,-0.0632209,0.9972134,-0.01858536,-0.06126456,0.9979485,2.952728,2.952728,1,0,3.632978,0.02302194
1,Red,-0.03953939,-0.06319455,0.9972177,-0.0190279,-0.06306521,0.997828,2.951584,2.951584,1,0.08559057,3.654263,0.02128506
1,Red,-0.03952844,-0.06343443,0.9972029,-0.0198823,-0.06288178,0.9978229,2.94873,2.94873,1,0,3.675589,0.02132583
1,Red,-0.03965501,-0.06338669,0.9972009,-0.01857022,-0.06288241,0.9978482,2.932709,2.932709,1,0,3.698839,0.02325058
1,Red,-0.03978035,-0.06245325,0.9972548,-0.01843262,-0.06315614,0.9978334,2.924789,2.924789,1,0,3.720718,0.02187872
1,Red,-0.03982057,-0.06170329,0.9972998,-0.0191956,-0.063141,0.99782,2.917465,2.917465,1,1,3.743575,0.02285671
1,Red,-0.03969645,-0.0612743,0.9973313,-0.01922617,-0.06308016,0.9978232,2.910782,2.910782,1,0,3.765698,0.02212334
1,Red,-0.0398927,-0.06116604,0.9973301,-0.0190585,-0.06370637,0.9977866,2.920197,2.920197,1,0,3.788308,0.02261043
1,Red,-0.04000379,-0.06110381,0.9973294,-0.01953156,-0.06378274,0.9977726,2.91069,2.91069,1,0,3.809644,0.02133536
1,Red,-0.03988646,-0.0611977,0.9973284,-0.01896682,-0.06239367,0.9978714,2.925049,2.925049,1,0,3.832396,0.02275252
1,Red,-0.03997748,-0.0608789,0.9973443,-0.01881419,-0.06198155,0.9978999,2.925934,2.925934,1,0.4346187,3.853986,0.02158999
