Index,Color,Talking,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
1,Blue,TRUE,-0.1039715,-0.1239776,0.986823,0.08056676,0.0250703,0.9964339,3.084473,3.084473,0.7905079,1,3.432471,0.02345753
1,Blue,TRUE,-0.1043206,-0.1245137,0.9867186,0.08143668,0.02964802,0.9962375,3.080322,3.080322,1,1,3.454056,0.02158499
1,Blue,TRUE,-0.1045775,-0.1253558,0.9865847,0.08123848,0.0301211,0.9962394,3.086533,3.086533,1,1,3.475882,0.02182531
1,Blue,TRUE,-0.1048693,-0.1255264,0.9865321,0.08284058,0.03985626,0.9957654,3.092041,3.092041,1,1,3.498804,0.02292275
1,Blue,TRUE,-0.105177,-0.1252811,0.9865305,0.08334471,0.04164184,0.9956504,3.089325,3.089325,1,1,3.521041,0.02223706
1,Blue,TRUE,-0.1051587,-0.1248047,0.9865928,0.0832371,0.03869648,0.9957782,3.091064,3.091064,1,1,3.542715,0.02167392
1,Blue,TRUE,-0.1046962,-0.1243825,0.9866953,0.08244383,0.04356416,0.9956431,3.080963,3.080963,1,1,3.564559,0.02184391
1,Blue,TRUE,-0.1045436,-0.1236444,0.9868043,0.08247401,0.0446321,0.9955933,3.104279,3.104279,1,1,3.586712,0.02215266
1,Blue,TRUE,-0.104689,-0.1236593,0.986787,0.08198646,0.04110767,0.9957853,3.104263,3.104263,1,1,3.609505,0.02279305
1,Blue,TRUE,-0.1048899,-0.1240932,0.9867113,0.08093294,0.03770462,0.9960061,3.089081,3.089081,1,1,3.631384,0.02187943
1,Blue,FALSE,-0.1050275,-0.1247286,0.9866164,0.08119266,0.03744536,0.9959947,3.125214,3.125214,1,1,3.654435,0.02305079
2,Red,FALSE,-0.1065568,-0.1213785,0.9868703,0.06683385,0.005844147,0.997747,3.067947,3.067947,1,1,4.187461,0.5330262
2,Red,FALSE,-0.1064794,-0.121611,0.98685,0.06683385,0.005844147,0.997747,3.070099,3.070099,1,1,4.187461,0
2,Red,FALSE,-0.1068983,-0.1211108,0.9868662,0.0668034,0.006042518,0.9977479,3.068985,3.068985,1,1,4.23526,0.04779816
2,Red,FALSE,-0.1072503,-0.1209519,0.9868475,0.06677294,0.00622563,0.9977488,3.063553,3.063553,1,1,4.251267,0.0160079
2,Red,FALSE,-0.1075189,-0.120693,0.98685,0.06597967,0.004058878,0.9978127,3.063309,3.063309,1,1,4.26539,0.01412249
